Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1706,"Cow peas, dry",1964,1964,ha,519350,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1706,"Cow peas, dry",1964,1964,100 g/ha,1656,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1706,"Cow peas, dry",1964,1964,t,86028,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1706,"Cow peas, dry",1965,1965,ha,468142,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1706,"Cow peas, dry",1965,1965,100 g/ha,1634,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1706,"Cow peas, dry",1965,1965,t,76478,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1706,"Cow peas, dry",1966,1966,ha,608300,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1706,"Cow peas, dry",1966,1966,100 g/ha,1111,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1706,"Cow peas, dry",1966,1966,t,67600,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1706,"Cow peas, dry",1967,1967,ha,689400,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1706,"Cow peas, dry",1967,1967,100 g/ha,1117,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1706,"Cow peas, dry",1967,1967,t,77000,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1706,"Cow peas, dry",1968,1968,ha,744500,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1706,"Cow peas, dry",1968,1968,100 g/ha,997,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1706,"Cow peas, dry",1968,1968,t,74200,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1706,"Cow peas, dry",1969,1969,ha,968100,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1706,"Cow peas, dry",1969,1969,100 g/ha,860,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1706,"Cow peas, dry",1969,1969,t,83300,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1706,"Cow peas, dry",1970,1970,ha,979800,A,Official figure,
